Done,Address,Date,Group,Presenter,Person,Proposed Combination,Proposed Extension,Proposed Term ID,Description,Comment
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Melanie Pruvost,MimsHumanAssociatedAncient; applied to all,Ancient,metadata_link,"Is there a way to link different metadata base to the same individual (i.e., ancient DNA, Calculus, pathogen study on the same individual)?",Covered by implementer and `alt_Sample_ids`
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHostAssociatedAncient,Ancient,new_species,"Any extinct species, or one that is newly described","Add to FAQ (request from ENA, or use 'unspecified')"
TRUE,yes,30.10.2025,EastEuropeBaltics,,Mateusz Baca,Ancient,,Stratigraphic unit,there is no field to put the stratygraphic layer in (which is one of the basic unit identifying the sample provenance for older samples eg Pleistocene); not sure whether this should go along with location (next to depth) or rather somewhere with dating,
TRUE,,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Stephan Schiffels,MimsHumanAssociatedAncient,Ancient,permit_authority,Legal entities who have provided permission for scientific analysis of samples,already exists
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Eleni Seferidou,MimsHumanAssociatedAncient; applied to all,Ancient,produced_data_storage,"Information on where the project's output is stored (i.e. samples, extracts, libraries etc)","too variable, not static"
TRUE,no,2025-10-14,seda2,James&Eleni,Madeline Slimp,MimsSoilAncient;MimsSedimentAncient,ancient,qPCR_publication_link,For preservation; qPCR thing with a link to a publication that showed the evidence?,Should be covered by `sop` etc.
TRUE,no,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,mixs-minas/Ancient,,radiocarbon dating error range”,Just realised this is already implied by the sample age range youngest and oldest limit? So probably to be discarded,covered by chrono_age_remarks
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient,raw_radiocarbon_ages,Input the raw radiocarbon ages for possibility of recalibration,covered by chrono_age_remarks
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient,read_length,,"up to implementer to report (how to summarise? what if length filtering? what if people left adapters,what if not illumina sequencing0"
TRUE,no,2025-01-28,University of Tartu,Meriam Guellil,Toni De Dios,,Ancient,samp_store_loc,"He would like a secondary column for the location the sample was stored in for the longest time and not just at the moment. Or at least expand the examples, because he thinks it's misleading.",
TRUE,no,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,,Ancient,samp_store_loc_dur,"Duration of the sample storage location', to be associated with 'samp_store_loc'. This essentially keeps track of when a sample was stored in a specific freezer, drawer etc... There can be multiple storage locations for a sample over time, which would require different durations/dates.","Very unlikely people record this information regularly, and limited use"
TRUE,no,2026-01-27,South America 2,Ophélie Lebrasseur,Federico Sánchez Quinto & Bárbara Moguel,mixs-minas/Ancient,,sample storage condition,"The term refers to the general conditions under which samples taken for nucleic acid analysis are stored prior to extraction, particularly in cases of long-term storage that may influence nucleic acid recovery or library construction (for example, storage at room temperature or frozen).  One example are soil cores sometimes stored for years in a freezer prior to DNA extraction.",Already exists: `storage_coditions`
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: individuals__radio_14Cdate, to be changed to individuals__raw_radio_14Cdate: The raw C14 value sent by the dating company, raw, untouched, uncalibrated. In other words, the value given by the C14-dating company. ",C14 extension deprecated
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: individuals__radio_14Cerror, to be changed to individuals__raw_radio_14Cerror: 
The error of the raw C14 value sent by the dating company, raw, untouched, uncalibrated.  ",C14 extension deprecated
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: individuals__radio_14Clabcode: 
The code of the measurement provided by the dating company (i.e., this is a unique code, with the following format : AA-90288 / UGA-8660 / D-AMS 030191 / CIRAM-5979).  ",C14 extension deprecated
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: individuals__date_median to be renamed as individuals__calBP_C14_median_date: 
This is the calibrated median probability calculated by a calibration software on the raw C14 date of the individual. This value can be used in the analyses, and must be the same value that is included in the column individuals__date.  ",C14 extension deprecated
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: Contextual dates of sites based of some individuals: 
– sites__radio_14C_date, changed to sites__radio_raw_average_14C_date: 
Average of all ABSOLUTE (Raw) and UNCALIBRATED dates available for that site that can be confidently associated with any other individual of the same site. Only archaeologists can provide the information of when this is possible to do. ATTENTION: is it not always the case that individuals of the same sites are synchronous. Very often archaeological sites are diachronic or chronologically asynchronous. ",C14 extension deprecated
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,new tabs proposed for dating: sites__radio_14C_error to be renamed as sites__radio_raw_average_14C_error ,C14 extension deprecated
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: sites__calBP14C_median_date: 
This is the calibrated median probability calculated by a calibration software on the average of the uncalibrated C14 dates of the site. This value can be used in the analyses when there is no direct date of the individual (i.e., no value in individuals__calBP_C14_median_date), and in such cases, it must be the same value that is included in the column individuals__date. ",C14 extension deprecated
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: – individuals__contextual_date: 
When there is not direct date for the individual, nor association date for the site, this column will have any information of the individual’s date that is not derived from a direct or indirect radio C14 date (e.g., date mentioned in a historical record, archaeological information, dates inferred from objects, dates mentioned in a crypt, or just a very vast category, such as, pre-contact, Holocene, etc.).  ",C14 extension deprecated
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: – individuals__date: 
This the column that contains the best information we can give from an individuals date (In order of relevance, this columns will include: individuals__calBP_C14_median_date -> sites__calBP14C_median_date –> individuals__contextual_date) ",C14 extension deprecated
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: – individuals__datation_method: 
This categoy is defined by precise, fixed categories (Individual_C14, Site_C14, Contextual, Historical record, objects, etc.) ",C14 extension deprecated
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Carles Lalueza,MimsHumanAssociatedAncient; applied to all,Ancient,Sample_ownership,"important information to any study, to prevent potential legal issues and conflicts (it could be State, government, City Council, the Museum itself, etc). ","Add to FAQ; 'ownership' dangerous, can be controversial - but we already have permit_authority who can also be the person who owns it"
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient,Ancient,sample_statistics,"informative statistics (i.e., endogenous DNA) regarding the sample quality",Analysis; subjective
TRUE,???,2025-10-30,EastEuropeBaltics,Martyna and Janis,Anna Juras,MimsHumanAssociatedAncient,???,Description of read state,should be required.,"Update term only, sometimes people don't know"
FALSE,???,2025-10-14,seda2,James&Eleni,Andreas Altenburger,MimsSoilAncient;MimsSedimentAncient,ancient,Institute_ROR,Permit_authority additional column: ROR,UPDATE terms to recommend use of ROR
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient,sequencing_chemistry,,"Vauge, much of the information already covered in other terms"
TRUE,???,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Martyna Molak,MimsHumanAssociatedAncient,Ancient,number of indexing cycles,"since in the non-ancient checklist I can't see this field and the ancient extension has two fields or post-indexing reamplifications, I think it would only make sense to also have a field for number of indexing PCR cycles",NEED TO REVISIT
TRUE,no,2025-10-14,seda2,James&Eleni,Dheeraj Chaudhary,MimsSoilAncient;MimsSedimentAncient,ancient,site_ph,"Site_ph: is general site more alkaline vs acidic (rather than just the specific sample)  | whether the soil is acidic, alkaline, or neutral. This will be helpful in the future if someone extracts data based on soil pH, and for correlation studies on DNA preservation in different soil types.",Not specific to aDNA
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Charoula Fotiadou,MimsHumanAssociatedAncient,Ancient,skeletal_material,"from the anthropological point of view, add the skeletal material",Already covered by the sample type
TRUE,no,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,,Ancient,specific treatment type,This would be entry 2/2 which would replace 'damage treatment type'. This would provide more information on the method used to treat damage (include DOI?),See above
FALSE,???,2025-10-13,sedaDNA_1,James and Eleni,Ying Liu,MimsSedimentAncient,ancient,sedi_type_past,"The sediment type of the sample as it was at burial or formation (compared to sediment type as it is today, as defined in the existing sediment_type term)",To revisit
TRUE,no,2025-10-14,seda2,James&Eleni,Christoph  Schwörer,MimsSoilAncient;MimsSedimentAncient,ancient,target_species_id,with latin names or free text (separate from just the description),"Up to the implementer to display (taxon IDs change, easy to find yourself; complicated when n > 1 taxa)"
TRUE,no,2025-10-14,seda2,James&Eleni,Dheeraj Chaudhary,MimsSoilAncient;MimsSedimentAncient,ancient,temperature_year_range,"Temperature (of site), currently: mean/seasonal → would be more useful to have a temperature range of the site | The idea is to indicate the general temperature range of the site for a better understanding of the context and climate. If possible, we could also include paleotemperature ranges of the layer from which we are taking our soil samples.",Not specific to aDNA; `avg_temp` alraedy exists and other similar ones
FALSE,no,2025-10-14,seda2,James&Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,ancient,total_station_coordinates,"The 'x,y,z' total-station coordinates → Sample Level",Too specific to a specific publication/project; would not be useable by otehrs
FALSE,no,2025-06-19,HAAM,Thiseas,Marwa Abdelazeem,MimsHumanAssociatedAncient,Ancient,Type_of_capture,"The type of capture that was done, where applicable. E.g. whole genome, organelle, SNP-based capture, specific genes. Hierarchical way: taxon_id > type of enrichment (genome/snp/gene) > description",Add to FAQ; can be defined in capture probe description
FALSE,no,2025-10-14,seda2,James&Eleni,Christoph  Schwörer,MimsSoilAncient;MimsSedimentAncient,ancient,water_temperature,New temperature: water temperature (as an environmental thing),Not specific to aDNA
FALSE,no,30.10.2025,EastEuropeBaltics,,Hanna Panagiotopoulou,,,,what to do if the data is from non-NGS sequencing/other data?,Explore use of MIMARKs etc
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,batch_id,,
FALSE,,,,,sample 1,,,EXB1;LIBB2;SeqRun1,,
FALSE,,,,,Sample 2,,,EXB2;LIBB2;SeqRun1,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
