MInAS_Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Gözde Âtag,MimsSedimentAncient,mims,env_broad_scale,"for the soil samples that we get from settlements but from different settings i.e., grave, house - make more clear where to add this information. Sort of anthropogenic env. If there isn’t a field about that add one or if there is then make more clear (faq)",
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,env_broad_scale,more examples would be nice! Is there way to get that information from the geolocation?,
,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,MimsHumanOralAncient,mims,env_broad_scale,"(comment applicable to ""local environmental context"") Applying these terms to archaeological samples can be problematic, as many archaeological contexts (e.g. urban environments) are not adequately represented. Instead of being required, they should be recommended. A glossary can be used (as suggested in the definition) but terms that are adapted to archaeological contexts and environments should be added. Several participants spent a certain amount of time trying to determine what to enter for these fields.",
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Anna Juras,MimsHumanAssociatedAncient,mims,env_local_scale,sometimes difficult to establish.,
,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,MimsHumanOralAncient,mims,env_local_scale,"(comment applicable to ""broad-scale environmental context"") Applying these terms to archaeological samples can be problematic, as many archaeological contexts (e.g. urban environments) are not adequately represented. Instead of being required, they should be recommended. A glossary can be used (as suggested in the definition) but terms that are adapted to archaeological contexts and environments should be added. Several participants spent a certain amount of time trying to determine what to enter for these fields.",
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Anna Juras,MimsHumanAssociatedAncient,mims,env_medium,data often difficult to obtain.,
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Ingrida Domarkienė,MimsHumanAssociatedAncient,mims,env_medium,"for some it might not be clear which environment is needed - of remains, or bone powder sampled",
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,mims,env_medium,important information but should not be required,
,2025-10-14,seda2,James and Eleni,Madeline Slimp,MimsSoilAncient;MimsSedimentAncient,mims,environmental medium,"s in the ‘Nucleic acid source’ section, but it would better fit the ‘Sample body’ section (depending on if you want the field to be filled with ‘cleanroom’ or ‘soil’)",
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,experimental_factor, allow protocols.io links?,
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,mims,experimental_factor,"Should be optional, almost all sedaDNA (and ancient DNA) is exploratory",
,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,MimsHumanOralAncient,mims,experimental_factor,Unsure if relevant for Ancient extension but understand they are recommended within the Mims checklist?,
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Gözde Âtag,MimsSedimentAncient,mims,experimental_factor , add more examples - not so clear ,
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Martyna Molak / Hanna Panagiotopoulou,MimsHumanAssociatedAncient,mims,geo_loc_name,"The required ""Country: region, place"" format should not be required",
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,IGB (Ripan Malhi’ group),MimsHostAssociatedAncient,mims,host_sex,make description more clear (gender or physical sex),
