MInAS Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
Meriam,2025-04-03,China,James Fellows Yates,Yichen Liu,MimsHumanAssociatedAncient,Ancient,genomic_capture_probe_*,The two fields are sufficient,
Meriam,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Ancient,genomic_capture_probe_*,The two fields are sufficient,
Meriam,2025-06-19,HAAM,Thiseas,Marwa Abdelazeem,MimsHumanAssociatedAncient,Ancient,genomic_capture_probe_desc,Should be a fixed drop-down list. (We thought about it but felt it would be too complicated),
Meriam,2025-01-28,University of Tartu,Meriam Guellil,Toni De Dios,Just Ancient,Ancient,genomic_capture_probe_taxid,In some cases he had no taxonomic ID for species he was working on because they were extinct and he had to apply for a taxonomic ID,
Meriam,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient,Ancient,host_body_preservation_state,Ancient body preservation should be “recommended” in museomics. It is not the same ultra frozen (eg 20 years old) than pinned stuff. It may be really good for querying,
Meriam,2025-06-19,HAAM,Thiseas,Yehia Gad,MimsHumanAssociatedAncient,Ancient,host_body_preservation_state,Artificially mummified bodies not represented. Separate natural from artificial mummification.,
Meriam,2025-06-19,HAAM,Thiseas,Xavier Roca-Rada,MimsHumanAssociatedAncient,Ancient,host_body_preservation_state,"There should be some separation between post-mortem treatments that take place before deposition (e.g. time of death), and those that take place post-excavation.",
Meriam,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Ancient,lib_concentration,We need to fix the unit description to ng per µl,
Meriam,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Ancient,lib_index_polymerase,We need to indicate/confirm this is referring to the FIRST one,
Meriam,2025-01-28,University of Tartu,Meriam Guellil,Multiple,Just Ancient,Ancient,lib_index_polymerase,missing a word at the beginning of the description ,
Meriam,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,general,"Column Order Issue: Library preparation method should also have a specific field: double stranded, single stranded, common name of the protocol (e.g., BEST, BEST2, Dabney, Santa Cruz, etc.) also UDG treatment should be added. This needs a field that specifically mentions this so people know precisely where to put it. ",
Meriam,2025-03-13,London1,Victor Yan Kin Lee,Marina Soares Da Silva,MimsHumanAssociatedAncient,Ancient,lib_strandedness,Should be mandatory instead of optional,
Meriam,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Ancient,lib_strandedness,Should be mandatory,
